nomor,tanggal,nama_pembeli,nama_barang,kuantum,nominal
1,1/2/2020,TOKO HERUNIAWATI,BERAS,1000,9840000
2,1/2/2020,TOKO HERUNIAWATI,DAGING,120,8400000
3,1/2/2020,TOKO APRILIA SUKRISNI,BERAS,6000,62910000
4,1/2/2020,TOKO APRILIA SUKRISNI,MIGOR,408,4855200
5,1/2/2020,TOKO APRILIA SUKRISNI,TEPUNG,140,1162000
6,1/2/2020,TOKO MAJU TERUS,BERAS,820,8597700
7,1/2/2020,TOKO MAJU TERUS,BERAS,550,5412000
8,1/2/2020,TOKO MAJU TERUS,DAGING,140,9800000
9,1/3/2020,KOPERASI BRI MELAWI,BERAS,1180,12372300
10,1/3/2020,KOPERASI BRI MELAWI,MIGOR,204,2427600
11,1/3/2020,KOPERASI BRI MELAWI,TEPUNG,200,1660000
12,1/6/2020,TOKO DEB,BERAS,500,4920000
13,1/6/2020,TOKO DEB,DAGING,100,7000000
14,1/6/2020,TOKO FATHULLAH ZIKRI,BERAS,500,4920000
15,1/6/2020,TOKO FATHULLAH ZIKRI,DAGING,110,7700000
16,1/6/2020,TOKO FAHRI,BERAS,200,1968000
17,1/6/2020,TOKO FAHRI,DAGING,40,2800000
18,1/7/2020,TOKO KEDAI YUDA,BERAS,250,2621250
19,1/7/2020,TOKO KEDAI YUDA,BERAS,500,4920000
20,1/7/2020,TOKO KEDAI YUDA,DAGING,60,4200000
21,1/7/2020,TOKO KOPERASI KONSUMEN SYARIAH BERKAH BERSEMI,BERAS,250,2621250
22,1/7/2020,TOKO KOPERASI KONSUMEN SYARIAH BERKAH BERSEMI,BERAS,450,4428000
23,1/7/2020,TOKO KOPERASI KONSUMEN SYARIAH BERKAH BERSEMI,DAGING,60,4200000
24,1/9/2020,Harya Sari,BERAS,200,2097000
25,1/9/2020,Harya Sari,BERAS,600,5904000
26,1/9/2020,Harya Sari,DAGING,100,7000000
27,1/9/2020,TOKO SUPER STOCK,BERAS,300,3145500
28,1/9/2020,TOKO SUPER STOCK,BERAS,700,6888000
29,1/9/2020,TOKO SUPER STOCK,DAGING,150,10500000
30,1/10/2020,TOKO HARYATI ,BERAS,3000,31500000
31,1/10/2020,TOKO KARDI ,BERAS,1000,10500000
32,1/10/2020,TOKO KHET MEN ,BERAS,1000,10500000
33,1/10/2020,TOKO ENDANG HARTATI ,BERAS,500,5250000
